"Restaurant name","Average stars","Number of reviews",Cuisine,Address,latitude,longitude
"Arizona Sandwich Co",4.0,1,"Sandwiches, Restaurants","1775 W University Dr
Ste 130
Tempe, AZ 85281",33.420941,-111.966874
"Beaver Choice",4.3,3,"Polish, Scandinavian, Restaurants","1743 E Broadway
Tempe, AZ 85282",33.407162,-111.910357
"Boulders On Broadway",4.4,5,"Pubs, Bars, American (Traditional), Nightlife, Restaurants","530 W Broadway
Tempe, AZ 85281",33.407561,-111.947525
"Casey Moore's Oyster House",4.3,39,"Bars, Seafood, Irish, Pubs, Nightlife, Restaurants","850 S Ash Ave
Tempe, AZ 85281",33.420571,-111.942444
"Classic Italian Pizza",5.0,2,"Pizza, Restaurants","1030 E Baseline Rd
#156
Tempe, AZ 85283",33.379421,-111.923529
"Cornish Pasty Company",4.5,4,"Pubs, Bars, Nightlife, British, Restaurants","960 W University Dr
Tempe, AZ 85281",33.422728,-111.951494
"Delhi Palace Cuisine of India",4.0,1,"Pakistani, Indian, Buffets, Restaurants","933 E University Dr
Ste 103
Tempe, AZ 85281",33.42135,-111.924806
"Desert Roots Kitchen",4.7,3,"Vegetarian, Gluten-Free, Vegan, Restaurants","414 S Mill Ave
Ste 111
Tempe, AZ 85281",33.425938,-111.940346
"Dilly's Deli",4.0,1,"Delis, Sandwiches, Restaurants","414 W University Dr
Tempe, AZ 85281",33.422113,-111.94542
"Essence Bakery Caf?",4.4,10,"Bakeries, Food, Sandwiches, Restaurants","825 W University Dr
Tempe, AZ 85281",33.421792,-111.951184
"Forefathers Gourmet Cheesesteaks & Fries",4.5,2,"Cheesesteaks, Sandwiches, Restaurants","8707 S Priest Dr
Ste 101
Tempe, AZ 85284",33.335156,-111.963117
"Four Peaks Brewing Co",4.6,41,"Bars, Food, Breweries, Pubs, Nightlife, American (New), Restaurants","1340 E 8th St
Ste 104
Tempe, AZ 85281",33.419451,-111.915926
Green,5.0,4,"Vegetarian, Vegan, Restaurants","2240 N Scottsdale Rd
Tempe, AZ 85281",33.453787,-111.927166
Guerrero's,5.0,1,"Mexican, Restaurants","2148 E Apache Blvd
Tempe, AZ 85281",33.414972,-111.89411
"House of Tricks",4.4,38,"American (New), Restaurants","114 E 7th St
Tempe, AZ 85281",33.423546,-111.937394
"Jimmy John's",5.0,1,"Food, Food Delivery Services, Delis, Sandwiches, Restaurants","680 S Mill Ave
Tempe, AZ 85281",33.424008,-111.940187
"La Bocca Urban Pizzeria + Wine Bar",4.5,10,"Wine Bars, Bars, Pizza, Nightlife, Restaurants","699 S Mill Ave
Tempe, AZ 85281",33.423441,-111.939622
